"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"5165","Bust","Southern Afghanistan","","Slipware","Type A",33.2,NA,NA,2.01,1.71,NA,NA,NA,NA,4.43,1.21,NA,NA,1.71,NA,NA,7.04,NA,46.3,NA,NA,2.41,NA,0
"5167","Bust","Southern Afghanistan","","Slipware","Type A",30.9,NA,NA,NA,0.498,NA,NA,NA,NA,4.25,0.697,NA,NA,1.49,NA,NA,12.1,NA,47.8,NA,NA,2.29,NA,0
"5181","Bust","Southern Afghanistan","","Slipware","Type A",29.7,NA,NA,1.29,NA,NA,NA,NA,NA,4.96,NA,NA,NA,2.08,NA,NA,22.8,NA,37.7,NA,NA,1.49,NA,0
"5208","Bust","Southern Afghanistan","","Slipware","Type A",28.4,NA,NA,2.03,NA,NA,NA,NA,0.912,3.04,0.527,NA,NA,2.23,NA,NA,25.3,NA,35.5,NA,NA,2.13,NA,0
"5210","Bust","Southern Afghanistan","","Slipware","Type A",23.8,NA,NA,0.794,1.19,NA,NA,NA,NA,2.18,NA,NA,NA,0.993,NA,NA,30.8,NA,38.7,NA,NA,1.49,NA,0
"5211","Bust","Southern Afghanistan","","Slipware","Type A",33.1,NA,NA,0.802,NA,NA,NA,NA,NA,6.52,0.602,NA,NA,3.51,NA,NA,10,NA,44.1,NA,NA,1.3,NA,0
"5219","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type A",31.8,NA,NA,2.98,0.596,NA,NA,NA,1.79,4.17,1.19,NA,NA,1.89,NA,NA,6.95,NA,45.7,NA,NA,2.98,NA,0
"5224","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type A",28.9,NA,NA,7.28,0.977,NA,NA,NA,NA,2.19,1.1,NA,NA,0.897,NA,NA,NA,NA,56.8,NA,NA,1.79,NA,0
"5233","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type B",31.8,NA,NA,4.98,0.896,NA,NA,NA,NA,2.89,1.09,NA,NA,1.89,NA,NA,9.95,NA,44.8,NA,NA,1.69,NA,0
"5248","Bust","Southern Afghanistan","","Monochrome","Type A",22.4,NA,NA,1.19,0.407,NA,NA,NA,NA,2.78,0.784,NA,NA,1.39,NA,NA,15.9,NA,53.6,NA,NA,1.59,NA,0
"Akhsiket 15/1.1","Akhsiket","Ferghana Valley","","Slipware",NA,13,NA,NA,2.3,NA,NA,NA,NA,0.54,4.4,0.2,NA,NA,0.5,NA,NA,13.8,NA,64.5,NA,NA,0.8,NA,0
"Akhsiket 23/11a.2","Akhsiket","Ferghana Valley","","Slipware",NA,16,NA,0,1.4,NA,NA,NA,NA,0,4.9,0.999,0,NA,0.5,NA,NA,13.1,NA,63.1,NA,NA,0,NA,0
"Akhsiket 23/11a.3","Akhsiket","Ferghana Valley","","Monochrome",NA,18,NA,NA,3.3,NA,NA,NA,NA,0,4.3,0.699,NA,NA,0.5,NA,0.699,12.1,NA,60.2,NA,NA,0.2,NA,0
"Akhsiket 23/12.13","Akhsiket","Ferghana Valley","","Slipware",NA,12.6,NA,NA,4.2,NA,NA,NA,NA,0.27,3.7,0.799,NA,NA,0.7,NA,NA,6.6,NA,71.1,NA,NA,0.0999,NA,0
"Akhsiket 23/12.15","Akhsiket","Ferghana Valley","","Slipware - Samanid",NA,21.2,NA,NA,9.22,NA,NA,NA,NA,0.361,3.41,1.3,NA,NA,0.702,NA,NA,12.6,NA,50.1,NA,NA,1.1,NA,0
"Akhsiket 23/12.2","Akhsiket","Ferghana Valley","","Slipware",NA,16.1,NA,NA,0.5,NA,NA,NA,NA,0.54,7.4,0,NA,NA,0.4,NA,NA,14.9,NA,59.6,NA,NA,0.5,NA,0
"Akhsiket 23/14.4","Akhsiket","Ferghana Valley","","Slipware",NA,16.9,NA,NA,5.2,NA,NA,NA,0,0.18,6,1.8,0,NA,0.999,NA,NA,6.99,NA,61.8,NA,NA,0.2,NA,0
"Akhsiket 23/15.1","Akhsiket","Ferghana Valley","","Slipware - Samanid",NA,18.2,NA,NA,5.24,NA,NA,NA,NA,0.363,3.83,2.32,0,NA,0.907,NA,NA,9.67,NA,58.9,NA,NA,0.504,NA,0
"Akhsiket 23/16.1","Akhsiket","Ferghana Valley","","Slipware",NA,9.4,NA,NA,2.2,NA,NA,NA,NA,0.45,2.9,1.2,NA,NA,0,NA,0,10.5,NA,72,NA,NA,1.3,NA,0
"Akhsiket 23/16.3","Akhsiket","Ferghana Valley","","Slipware - Samanid",NA,18.6,NA,NA,0.2,NA,NA,NA,NA,0.361,5.21,0.501,NA,NA,0.802,NA,NA,17.2,NA,56.8,NA,NA,0.2,NA,0
"Akhsiket 23/2-8.3","Akhsiket","Ferghana Valley","","Slipware - Samanid",NA,17,NA,NA,1.8,NA,NA,NA,NA,0.63,4.3,0.801,NA,NA,0.5,NA,NA,13.7,NA,61.1,NA,NA,0.1,NA,0
"Akhsiket 23/2-8.5","Akhsiket","Ferghana Valley","","Monochrome",NA,14,NA,NA,0.6,NA,NA,NA,NA,0.54,5.9,1.1,NA,NA,0.6,NA,NA,10.3,NA,66.8,NA,0.1,NA,NA,0
"Akhsiket 24/26","Akhsiket","Ferghana Valley","","Underglaze",NA,13.6,NA,NA,5.33,NA,NA,NA,NA,0.815,5.23,0.604,0,NA,1.11,NA,0.402,12.6,NA,59.8,NA,0,0.604,NA,0
"Akhsiket 9/3.3","Akhsiket","Ferghana Valley","","Slipware",NA,10.7,NA,NA,1.2,NA,NA,NA,NA,0.54,6.5,0.8,NA,NA,0.9,NA,NA,7.9,NA,70.8,NA,NA,0.7,NA,0
"BKH20-58-9","Bukhara","Transoxiana","","Slipware - Samanid","BUK",22.1,NA,NA,4.76,NA,NA,NA,NA,0.788,4.67,1.26,NA,NA,0.607,NA,0.308,10.6,NA,54.3,NA,NA,0.571,NA,0
"BKH20-87-21","Bukhara","Transoxiana","","Splashed","SAMK",10.1,NA,NA,2.27,NA,NA,NA,NA,1.1,4.27,0.822,NA,NA,0.561,NA,NA,10.4,NA,70.5,NA,NA,NA,NA,0
"BKH20-93-15","Bukhara","Transoxiana","","Slipware - Samanid","BUK",18.3,NA,NA,1.89,NA,NA,NA,NA,2.02,3.12,0.531,NA,NA,1.06,NA,NA,22.8,NA,50.3,NA,NA,NA,NA,0
"BKH20-94-2","Bukhara","Transoxiana","","Splashed","N/A",16,NA,NA,1.59,NA,NA,NA,0.49,1.51,4.7,0.571,NA,NA,0.807,NA,NA,16.5,NA,56.1,1.75,NA,NA,NA,0
"BKH20-95-2","Bukhara","Transoxiana","","Slipware - Samanid","N/A",15.1,NA,NA,1.68,NA,NA,NA,NA,1.05,3.94,0.691,NA,NA,0.536,NA,NA,24.8,NA,51.6,NA,NA,0.573,NA,0
"BKH20-99-9","Bukhara","Transoxiana","ave","Slipware - Samanid","BUK",16.9,NA,NA,1.27,NA,NA,NA,NA,1.76,3.25,0.297,NA,NA,0.367,NA,NA,15.1,NA,60.5,NA,NA,0.524,NA,0
"BKH21-210-2","Bukhara","Transoxiana","","Slipware - Samanid","BUK",15.2,NA,NA,1.89,NA,NA,NA,NA,1.21,4.83,0.607,0.129,NA,0.744,NA,NA,20.2,NA,54.7,NA,NA,0.46,NA,0
