"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Component","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"5149","Bust","Southern Afghanistan","","Slipware","Type A","Red Slip",14.2,NA,NA,3,0.38,NA,NA,NA,5.22,2.6,0.8,NA,NA,1.8,NA,NA,10,NA,62,NA,NA,NA,NA,0
"5155","Bust","Southern Afghanistan","","Slipware","Type A","Red Slip",14.2,NA,NA,0.997,NA,NA,NA,NA,5.38,2.59,0.897,NA,NA,1.2,NA,NA,13,NA,61.8,NA,NA,NA,NA,0
"5208","Bust","Southern Afghanistan","","Slipware","Type A","Red Slip",17.1,NA,NA,1.3,NA,NA,NA,NA,4.6,3.21,0.702,NA,NA,2.01,NA,NA,10,NA,60.2,NA,NA,0.903,NA,0
"5219","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type A","Red Slip",16,NA,NA,7.99,NA,NA,NA,NA,5.49,1.5,1.2,NA,NA,1.9,NA,NA,4,NA,60.9,NA,NA,0.999,NA,0
"5224","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type A","Red Slip",18.1,NA,NA,4.01,0.572,NA,NA,NA,7.23,2.21,1.12,NA,NA,0.542,NA,NA,NA,NA,65.2,NA,NA,1,NA,0
"5233","Laskhar-i Bazar","Southern Afghanistan","","Slipware","Type B","Red Slip",17.2,NA,NA,1.72,0.811,NA,NA,NA,7.3,1.72,1.42,NA,NA,1.83,NA,NA,9.13,NA,58.8,NA,NA,NA,NA,0
"Akhsiket 15/1.1","Akhsiket","Ferghana Valley","","Slipware",NA,"Red Slip",12,NA,NA,1.8,NA,NA,NA,NA,2.16,4.01,0.2,NA,NA,0.701,NA,NA,16.3,NA,62.8,NA,NA,0,NA,0
"Akhsiket 23/11a.2","Akhsiket","Ferghana Valley","","Slipware",NA,"Black Slip",9.25,NA,2.16,1.13,NA,NA,NA,NA,26.4,2.88,0.617,12.6,NA,0.308,NA,NA,8.43,NA,36,NA,NA,0.206,NA,0
"Akhsiket 23/11a.2","Akhsiket","Ferghana Valley","","Slipware",NA,"Red Slip",13.8,NA,0,1.12,NA,NA,NA,NA,13,3.96,0.913,3.35,NA,0,NA,NA,13.9,NA,48.9,NA,NA,1.12,NA,0
"Akhsiket 23/12.13","Akhsiket","Ferghana Valley","","Slipware",NA,"Olive Slip",10.4,NA,NA,1.71,NA,NA,0.994,NA,0.812,2.91,1,NA,NA,0.201,NA,NA,8.73,NA,71.9,NA,NA,1.3,NA,0
"Akhsiket 23/12.13","Akhsiket","Ferghana Valley","","Slipware",NA,"Red Slip",16.3,NA,NA,1.01,NA,NA,0.333,NA,4.89,5.04,0.504,NA,NA,0.705,NA,NA,6.85,NA,63.7,NA,NA,0.705,NA,0
"Akhsiket 23/13.3","Akhsiket","Ferghana Valley","","Slipware - Samanid",NA,"Black Slip",10.8,NA,NA,19.8,NA,NA,NA,NA,11.3,3.55,1.56,2.61,NA,1.67,NA,0.626,6.67,NA,40.1,NA,0.938,0.313,NA,0
"Akhsiket 23/14.4","Akhsiket","Ferghana Valley","","Slipware",NA,"Olive Slip",11.9,NA,NA,3.74,NA,NA,4.85,0,2,4.75,2.23,0,NA,0.91,NA,NA,4.75,NA,63.9,NA,NA,0.91,NA,0
"Akhsiket 23/15.1","Akhsiket","Ferghana Valley","","Slipware - Samanid",NA,"Red Slip",16.8,NA,NA,6.66,NA,NA,NA,NA,1.18,3.73,2.32,0,NA,0.908,NA,NA,6.86,NA,61.4,NA,NA,0.202,NA,0
