Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Na2O,MgO,Al2O3,SiO2,K2O,CaO,FeO,TiO2,PbO,CuO,MnO,P2O5,SO3,Cl,BaO,Cr2O3,Total
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Slipware,,,0.5,0.2,13,64.5,4.4,2.3,0.540000054,0.8,13.8,,,,,,,,100.0400001
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Red Slip,Slipware,,,0.7,0.2,12,62.7,4,1.8,2.160000216,0,16.3,,,,,,,,99.86000022
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,,Green,0,0,1.5,34.5,0.1,0.7,0,0,59.9,3.4,,,,,,,100.1
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,,Transparent,0,0,1.4,35.2,0,0.8,0,0.4,62.2,0,,,,,,,100
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,,Red,0,0,1.5,33.4,0,1.3,1.170000117,0,62.5,0,,,,,,,99.87000012
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,,Yellow,0,0,1.7,33.1,0.3,0.8,0.270000027,0,63.9,0,,,,,,,100.07
Akhsiket 15/1.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Slipware,,,1.2,3.3,14.1,56.9,4.5,11.8,6.840000684,0.7,,,,,,,,,99.34000068
"Akhsiket 23 surface, Kiln rod green glaze",Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Kiln Furniture,,,0.2,0.6,3.2,40.3,1.8,3,0.990000099,,48.1,1.7,,,,,,,99.8900001
"Akhsiket 23 surface, Kiln rod green glaze",Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Kiln Furniture,,,0.9,3.1,11,55.8,3.1,18.9,6.210000621,0.5,,,,,,,,,99.51000062
Akhsiket 23/10a.1,Akhsiket,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Underglaze,,Black,7.3,2.8,3.8,67.3,7.9,6.8,1.170000117,0.1,,0,1.6,0,0,1.1,,,99.87000012
