Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,LIA Group,Count,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CoO,CuO,MoO3,SnO2,Sb2O3,PbO,Total
K007,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Splashed,,Yellow,KAZ3,Tianshan group,5,0.118656653,0.440267389,2.50904886,31.27886654,0.128134743,0.5436693,1.211068479,,0.014543869,0.025859778,0.535684954,0.00550847,0.265109844,,0.004658134,,62.91892299,100
K007,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Splashed,,Green,KAZ3,Tianshan group,5,0.20339499,0.437329442,2.233872392,25.58775892,0.20821961,0.395391414,1.337451436,,0.012402043,0.005364165,0.549932186,0.015273329,2.35199412,,0.068724839,,66.59289111,100
K008,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Opaque,,White,,,5,4.050722005,1.813718422,4.741936016,59.01344815,0.718154193,10.32662821,4.292679584,,0.003988493,0.032619765,0.639034508,0.007006428,0.34641265,,0.02484879,,13.98880278,99.99999999
K009,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Yellow,KAZ3,Tianshan group,5,0.27997977,0.497948517,4.708473838,35.54042185,0.095205361,0.87326732,1.112343257,,0.18347504,0.016864494,0.62806562,0.019763064,0.083668543,,0.002498827,,55.9580245,100
K018,Kulan,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Green,KAZ3,,11,0.057176053,0.363070514,4.664511395,36.65611101,0.120189277,0.297016699,1.323372361,,0.007325355,0.103455084,1.223200212,0.007855592,0.770515179,,0.002766779,,54.40343449,100
K026,Aspara,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Alkali,,White,KAZ6,,3,10.54920958,2.885146584,2.079368489,71.6234102,0.243317066,5.408118778,4.488338289,,0.011974737,0.388944224,0.922406239,1.31E-05,1.313851875,,0.005028638,,0.080872214,100
K027,Aspara,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Splashed,,Yellow,KAZ6,Tianshan group,5,0.866963748,0.284513325,2.885404234,34.84737424,0.086385856,2.354579972,1.289171206,,0.151063695,0.007928501,0.313115793,0.006308086,0.043343938,,0.002069883,,56.86177752,100
K027,Aspara,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Splashed,,Brown,KAZ6,Tianshan group,5,0.556434316,0.357677974,2.824372094,30.31235978,0.079425325,1.421960314,1.583978332,,0.132574831,0.697160879,0.701419246,0.010794714,0.02225386,,1.32E-05,,61.29957512,99.99999999
K028,Aspara,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Green,KAZ6,Tianshan group,5,0.245505481,0.261737976,2.399873591,33.17029406,0.122086982,0.552400262,0.911307359,,0.01459503,0.022817169,0.278457437,0.01529973,1.41264838,,1.31E-05,,60.5929634,99.99999996
K029,Aspara,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Blue,,,6,3.767291574,0.996618883,2.819769822,48.19239026,,1.069141959,2.220488267,,,0.032455699,1.207060389,0.729476764,0.267690904,1.52E-05,1.948913125,,36.74868711,99.99999996
K047,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Yellow,KAZ2,,5,0.20745249,0.355967461,4.347223689,42.38302013,0.141200557,0.731514436,0.838826378,,0.002949641,0.002528071,0.538860933,0.00217695,0.046864794,1.50E-05,0.009036956,,50.39236252,100
K048,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ2,Tianshan group,5,0.185001816,0.20588322,2.777133334,37.97550092,0.079798663,0.589817198,2.330909585,,0.005030707,0.013995516,0.350199813,,0.155995345,,0.020819139,,55.30991475,100
K050,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Green,KAZ2,Tianshan group,10,0.060805768,0.121174579,2.197038119,28.67133298,,0.076859143,1.135304821,,,0.011008157,0.255252543,0.022321376,0.114208485,1.56E-05,0.010458821,,67.32421962,100
