Sample,Site,Region,Instrument,Ware,Provenance,Component,Glaze_or_slip_color,Surface,Incision,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,CoO,CuO,As2O3,SnO2,PbO,Total
DK23,Dandanakan,Merv Oasis,Uncertain,Alkali,Quartz,Glaze,Turquoise,int,,5.2,0.9,3.8,85,,2.3,1.2,0.1,,0.630000063,,0.5,,,,99.63000006
DK23,Dandanakan,Merv Oasis,Uncertain,Alkali,Quartz,Glaze,Turquoise,int,,11.7,3.2,2.8,72.7,,3.6,3.7,0.1,,0.810000081,,1.2,,,,99.81000008
DK25,Dandanakan,Merv Oasis,Uncertain,Alkali,Quartz,Glaze,Turquoise,int,,11,2.6,4,73.9,,2.4,4,0.1,,0.990000099,,1,,,,99.9900001
DK25,Dandanakan,Merv Oasis,Uncertain,Alkali,Quartz,Glaze,Turquoise,int,,13.6,4,1.5,70,,2,6,0.1,,0.630000063,,2.1,,,,99.93000006
DK26,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Blue,ext,,9.7,3.2,3.8,70.3,,1.7,3.3,0.1,0.3,2.070000207,,,0.4,,5.2,100.0700002
DK26,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Blue,int,,10.5,3.2,3,69.7,,1.8,3.7,0.1,,1.620000162,,,,,6.2,99.82000016
DK26,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Blue,int,,12.4,4.4,1.8,59.4,,1.4,6.6,0.1,0.2,2.520000252,0.6,,0.5,,10,99.92000025
DK26,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Blue,ext,,12,4.3,1.6,59.6,,1.3,6.7,0.2,0.3,2.430000243,0.6,,0.5,,10.3,99.83000024
DK24,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Turquoise,int,,7.9,1.7,3.8,65.4,,2.7,1.8,0.1,,0.720000072,,0.6,,1.4,14,100.1200001
DK24,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Turquoise,ext,,9.3,2.7,1.2,59.7,,2.2,3.5,0.1,,0.450000045,,0.2,,0.6,20.2,100.15
DK24,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Glaze,Turquoise,int,,9.7,1.9,1,48.5,,1.6,2.9,0.1,,0.360000036,,1.3,,3.9,28.6,99.86000004
DK20,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B,Glaze,Turquoise,ext,,2.7,1.1,3.3,47.4,,2.7,4.6,0.2,,0.540000054,,1.2,,1.5,34.8,100.0400001
DK20,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B,Glaze,Turquoise,int,,2.8,1.2,2,43,,2.2,3.4,0.1,,0.540000054,,1.4,,1.4,42.1,100.1400001
DK21,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B,Glaze,Green,int,,0.8,0.4,3.7,31.7,,1.4,0.5,0.3,,1.170000117,,1.5,,,58.3,99.77000012
DK21,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B,Glaze,Green,ext,,0.8,0.5,3.5,31.3,,1.3,1,0.4,,0.990000099,,1.4,,,58.8,99.9900001
DK22,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Biotite A,Glaze,Yellow,int,,0.9,0.4,4.2,27.2,,1.4,2.6,0.2,,1.350000135,,,,,61.4,99.65000014
DK15,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,Glaze,Yellow,int,,0.5,0.3,4.7,34,,1.6,1,0.1,,0.720000072,,,,,57,99.92000007
DK15,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,Glaze,Green,int,,0.4,0.5,3.9,32,,1.2,2.3,0.2,,0.720000072,,1.2,,,57.7,100.1200001
DK15,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,Glaze,Transparent,ext,,0.6,0.3,4.4,30.7,,1.5,1.9,0.2,,0.990000099,,,,,59.5,100.0900001
DK17,Dandanakan,Merv Oasis,Uncertain,Undetermined,Quartz Biotite A,Glaze,Transparent,in,,1.2,0.4,5.9,43.5,,1.1,1.2,0.2,,0.360000036,,,,,46.1,99.96000004
DK16,Dandanakan,Merv Oasis,Uncertain,Undetermined,Quartz Biotite B,Glaze,Transparent,int,,0.7,0.4,4,43.8,,1.5,1,0.1,,0.540000054,,,,,47.9,99.94000005
DK17,Dandanakan,Merv Oasis,Uncertain,Undetermined,Quartz Biotite A,Glaze,Transparent,ext,,0.9,0.3,5.1,36.3,,1.8,1.2,0.3,,0.450000045,,,,,53.7,100.05
DK17,Dandanakan,Merv Oasis,Uncertain,Undetermined,Quartz Biotite A,Glaze,Green,in,,0.7,0.5,4.6,34.7,,1.3,1.8,0.2,,0.450000045,,1.4,,,54.3,99.95000005
DK24,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz,Inclusion,Turquoise,int,,9.4,2,1,47,,1.5,3,,,0.270000027,,1.3,,6,28.3,99.77000003
DK20,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B,Inclusion,Turquoise,ext,,2.5,1.2,3,45.6,,2.4,4.7,0.2,,0.630000063,,1,,4.2,34.4,99.83000006
DK20,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B,Inclusion,Turquoise,int,,2.7,1.2,2.5,43,,2.3,3.2,0.2,,0.540000054,,1.3,,4.4,38.7,100.0400001
DK22,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Biotite A,Inclusion,Yellow,int,,0.8,0.4,3.7,30.2,,1.5,5.4,0.2,,1.530000153,,,,,55.9,99.63000015
DK18,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,Inclusion,Green,ext,,0.9,0.5,4.4,44.9,,1.5,2.9,0.5,,1.80000018,,0.4,,,42.2,100.0000002
DK18,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,Inclusion,Green,int,,0.8,0.4,4.6,34.2,,1.4,0.7,0.3,,0.990000099,,1,,,55.4,99.7900001
DK21,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B ,White Slip,,ext,Y,1.6,1,16.4,58.3,0.2,7.1,3.9,1,,1.980000198,,,,,8.5,99.9800002
DK21,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B ,White Slip,,ext,,1.6,0.6,20.4,55.4,,7.3,3.4,0.6,,1.620000162,,,,,9.1,100.0200002
DK21,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B ,White Slip,,int,Y,1.3,0.5,15.9,58.6,0.4,6.2,1.8,1,,1.890000189,,,,,12.4,99.99000019
DK21,Dandanakan,Merv Oasis,Uncertain,Monochrome,Quartz Opaque B ,White Slip,,int,,1.4,0.6,22.9,45.8,0.5,6.2,1.6,0.5,,1.440000144,,,,,19.2,100.1400001
DK15,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,White Slip,,int,,0.8,0.7,19.5,49.8,,4.7,0.9,0.3,,0.90000009,,,,,22.5,100.1000001
DK15,Dandanakan,Merv Oasis,Uncertain,Splashed,Quartz Biotite B,White Slip,,int,Y,0.7,1.2,19,37.1,2,3,1,1.3,,0.990000099,,,,,33.7,99.9900001
DK17,Dandanakan,Merv Oasis,Uncertain,Undetermined,Quartz Biotite A,White Slip,,int,Y,0.9,0.9,18,52.9,,5.5,1.6,1.8,,1.440000144,,,,,17.1,100.1400001
DK16,Dandanakan,Merv Oasis,Uncertain,Undetermined,Quartz Biotite B,White Slip,,int,Y,0.9,0.6,14.1,60.8,,3.8,0.7,0.8,,0.90000009,,,,,17.3,99.90000009
