Sample,Site,Component,Ware,Incision,Glaze_or_slip_color,Provenance,PbO,SiO2,Al2O3,Na2O,MgO,CaO,FeO,K2O,TiO2,P2O5,SnO2,CuO,MnO,Cr2O3,Sb2O3,NiO2,Total
BKH20-58-9,Bukhara,Glaze,Samanid - Slipware,,Brown,BUK,54.47206124,37.95319594,4.142663913,0.398754045,0.692542716,0.669556346,0.626948001,0.775569537,0.058066545,0.039872209,,,0.101108622,,,,99.93033911
BKH20-58-9,Bukhara,Glaze,Samanid - Slipware,,Transparent,BUK,54.58220144,39.1834047,3.162549155,,,1.262950772,0.541264432,1.192867546,0.01462146,,,,,,,,99.9398595
BKH20-58-9,Bukhara,Glaze,Samanid - Slipware,,Olive,BUK,55.51530271,37.23736036,3.650511976,0.360424644,0.514913678,0.796516865,0.510537827,0.259750044,,0.454563686,,,0.378661542,0.264730248,,,99.94327358
BKH20-87-21,Bukhara,Glaze,Splashed,Y,Transparent,SAMK,51.07192979,38.8941,4.377991767,,0.295568234,2.992665074,1.261416804,0.966170926,,,,,,,,,99.8598426
BKH20-87-21,Bukhara,Glaze,Splashed,Y,Green,SAMK,51.5137143,39.46398315,3.468852153,0.47138256,0.579899394,1.345564316,0.787460666,0.421246542,,,,1.8604013,,,,,99.91250438
BKH20-93-15,Bukhara,Glaze,Samanid - Slipware,,Transparent,BUK,50.34799128,41.26475674,4.305840232,0.934413651,0.517286127,1.091163809,0.680136892,0.782840505,,,,,,,,,99.92442924
BKH20-93-15,Bukhara,Glaze,Samanid - Slipware,,Brown,BUK,50.49381134,39.10267446,3.614279376,0.591401273,0.218264273,1.252306626,2.100112234,1.37410032,,,,,1.019704318,,,,99.76665422
BKH20-94-2,Bukhara,Glaze,Splashed,Y,Transparent,N/A,37.59621693,43.47245272,6.387686922,0.8340621,0.460988545,5.156907893,1.730843755,2.29006598,,,1.878459203,,,,,,99.80768405
BKH20-94-2,Bukhara,Glaze,Splashed,Y,Green,N/A,46.86355747,37.26671391,5.519071595,0.61036178,0.353351989,2.732990308,1.530873351,1.497297253,,,0.743925794,2.711759523,,,,,99.82990297
BKH20-95-2,Bukhara,Glaze,Samanid - Slipware,,Brown,N/A,53.18880236,37.27587279,3.919192257,0.523514129,0.526935399,0.876864193,0.658750616,0.776178178,0.117816341,,,,2.062879233,,,,99.9268055
BKH20-95-2,Bukhara,Glaze,Samanid - Slipware,,Transparent,N/A,57.32636763,35.82154627,2.996992005,0.312310046,,1.196966776,0.504524886,1.6960261,0.089207972,,,,,,,,99.94394168
BKH20-99-9,Bukhara,Glaze,Samanid - Slipware,,Transparent,BUK,55.37809367,38.19772795,3.000898617,,,0.781457188,1.167824573,0.441508519,0.902731218,,,,,,,,99.87024174
BKH20-99-9,Bukhara,Glaze,Samanid - Slipware,,Red,BUK,55.97308314,36.82843802,4.009605215,0.284867456,0.525670058,0.665309328,0.929100639,0.063642273,0.617050486,,,,,,,,99.89676661
BKH21-210-19,Bukhara,Glaze,Samanid - Slipware,,Green,BUK A,52.31631066,37.85922414,4.040303095,0.984538694,0.685854036,0.652572582,0.702042973,0.858623071,0.337693223,0.262127248,,1.222705509,,,,,99.92199523
BKH21-210-2,Bukhara,Glaze,Samanid - Slipware,,Transparent,BUK,54.04661848,38.09859744,3.14023874,0.349296911,,1.475288683,0.678369118,2.002038981,0.134177306,,,,,,,,99.92462566
BKH21-210-2,Bukhara,Glaze,Samanid - Slipware,,Brown,BUK,55.24204629,36.26705444,3.50121448,0.669279436,0.470488027,1.104098239,1.038193145,1.260272035,,,,,0.331999134,,,,99.88464523
BKH21-210-29,Bukhara,Glaze,Samanid - Slipware,,Brown,BUK A,47.77788758,43.49878038,2.714524848,0.53138527,,0.576093682,1.679579543,1.720075224,0.263093013,,,,1.051960529,,,,99.81338007
BKH21-210-29,Bukhara,Glaze,Samanid - Slipware,,Transparent,BUK A,50.38388041,42.8145258,3.116533043,0.48489172,0.014549232,1.043465496,0.33868774,1.648725471,0.117109118,,,,,,,,99.96236803
BKH21-210-6,Bukhara,Glaze,Samanid - Slipware,,Brown,N/A,51.38161415,35.93521451,4.176380291,0.53205807,0.072726999,1.350011484,1.930011701,1.151690693,0.087808707,,,2.975500348,0.192537328,,,,99.78555428
BKH21-210-6,Bukhara,Glaze,Samanid - Slipware,,Green,N/A,52.12902867,38.01885321,4.027299043,0.319240803,,1.153667717,0.744930705,1.500395704,0.453686792,,,1.570127284,,,,,99.91722993
BKH22-006-g,Bukhara,Glaze,Splashed,Y,Brown,N/A,53.08002986,38.46832736,2.945658455,0.354185409,0.130716697,1.568619602,1.44256932,1.202754806,,,,0.64685303,,,,,99.83971454
BKH22-006-g,Bukhara,Glaze,Splashed,Y,Green,N/A,54.59143784,37.1051447,3.05263337,0.36493174,0.376532472,0.794257924,0.258461041,0.399757277,,,,3.028125746,,,,,99.97128211
BKH22-006-g,Bukhara,Glaze,Splashed,Y,Transparent,N/A,56.85718982,36.19185153,2.51287985,0.023903279,0.132327206,1.550728465,1.403298015,0.736952367,,,,0.366256737,0.068690747,,,,99.84407802
BKH22-060-u,Bukhara,Glaze,Splashed,,Transparent,N/A,36.60587207,49.19043678,4.71962421,1.261170706,0.541562865,2.605845848,0.897247818,2.923906905,,,,0.972287885,0.182350723,,,,99.90030581
BKH22-060-u,Bukhara,Glaze,Splashed,,Green,N/A,39.56615122,45.45055432,5.050843027,1.280150611,0.991574543,2.829849928,0.893885133,2.182063429,,,,1.508002539,0.147604692,,,,99.90067944
BKH22-123-l,Bukhara,Glaze,Lustreware,,White,N/A,12.20689016,60.13049689,2.36026251,6.013804439,2.071507339,6.117495145,,2.687089571,,0.143117076,8.269336865,,,,,,100
BKH22-138-al,Bukhara,Glaze,Samanid - Slipware,,Transparent,BUK,55.38556358,38.36182485,3.391322893,0.434560922,0.693536507,0.743664477,0.616636099,0.304375563,,,,,,,,,99.93148489
BKH22-138-al,Bukhara,Glaze,Samanid - Slipware,,Red,BUK,57.27971377,36.51413664,2.975502853,,,1.206364911,0.815087384,0.678261516,0.440367674,,,,,,,,99.90943475
BKH22-138-an,Bukhara,Glaze,Samanid - Slipware,,Brown,BUK,42.36105859,44.87915335,5.003913456,0.634128089,0.245590349,1.121422627,2.241973818,1.280282766,,,,0.599777422,1.383591358,,,,99.75089182
