ANID,NAA Group,Munsell value,Color description
UZB043,BUK,5YR 7/4 , pink
UZB044,BUK,5YR 6/6 ,reddish yellow
UZB042,BUK,10YR 7/3 , very pale brown
UZB003,SAMK,2.5YR 6/6 , light red
UZB004,SAMK,2.5YR 6/6 , light red
UZB007,BUK,10YR 8/4 , very pale brown
UZB005,unassigned,10YR 7/4 , very pale brown
UZB006,BUK,5YR 6/6 , reddish yellow
UZB008,BUK,10YR 7/4 , very pale brown
UZB009,BUK,10YR 8/4 , very pale brown
UZB012,unassigned,5YR 6/6 , reddish yellow
UZB010,SAMK,2.5YR 6/6 , light red
UZB011,unassigned,7.5YR 8/4 , pink
UZB001,BUK,5YR 6/6 , reddish yellow
UZB013,BUK,5YR 6/6 , reddish yellow
UZB014,BUK,7.5YR 7/4 , pink
UZB015,BUK,7.5YR 7/4 , pink
UZB016,unassigned,10YR 7/4 , very pale brown
UZB017,unassigned,5YR 6/6 , reddish yellow
UZB018,BUK,2.5YR 5/6 , red
UZB019,BUK,10YR 8/3 , very pale brown
UZB020,BUK,5YR 7/6 , reddish yellow
UZB021,unassigned,7.5YR 7/4 , pink
UZB022,BUK,5YR 6/6 , reddish yellow
UZB023,BUK,2.5YR 8/4 , pink
UZB024,BUK,7.5YR 7/4 , pink
UZB026,SAMK,2.5YR 6/6 , light red
UZB025,TASH,10YR 8/4 , very pale brown
UZB027,SAMK,5YR 7/4 , pink
UZB028,BUK,10YR 8/3 , very pale brown
UZB029,outlier,7.5YR 7/4 , pink
UZB002,BUK,5YR 7/6 , reddish yellow
UZB030,BUK,7.5YR 7/4 , pink
UZB031,unassigned,5YR 7/6 , reddish yellow
UZB032,BUK,7.5YR 7/4 , pink
UZB033,BUK,7.5YR 7/4 , pink
UZB034,PAY 2,10YR 7/4 , very pale brown
UZB035,BUK,7.5YR 7/4 , pink
UZB036,BUK,7.5YR 7/4 , pink
UZB037,unassigned,2.5Y 7/4 , pale brown
BKH20-95-2,NA,7.5YR 6/6 , reddish yellow
UZB038,unassigned,5YR 6/6 , reddish yellow
UZB039,unassigned,5YR 6/6 , reddish yellow
UZB041,BUK,5YR 6/6 ,reddish yellow
UZB040,BUK,7.5YR 6/6 , reddish yellow
UZB045,BUK,10YR 8/4 , very pale brown
UZB046,BUK,10YR 8/4 , very pale brown
UZB047,BUK,10YR 7/4 , very pale brown
UZB048,BUK,5YR 6/6, reddish yellow
UZB049,BUK,10YR 7/4 , very pale brown
UZB053,BUK A,5YR 6/4 , light reddish brown
UZB050,BUK,7.5YR 7/4 , pink
UZB054,TASH,7.5YR 8/4 ,pink
BKH21-210-29,NA,10YR 7/4 , very pale brown
UZB055,outlier,10YR 8/3 , very pale brown
UZB051,TASH,7.5YR 7/4 , pink
UZB052,unassigned,7.5YR 7/4 , pink
UZB056,BUK,5YR 6/6 , reddish yellow
UZB057,BUK A,10YR 7/4 , very pale brown
BKH22-006-g,NA,2.5YR 6/6 , light red
UZB058,unassigned,7.5YR 6/6 , reddish yellow
UZB059,BUK,7.5YR 7/4 , pink
UZB060,unassigned,5YR 6/6 , reddish yellow
UZB061,BUK,5YR 6/6 , reddish yellow
UZB062,BUK,10YR 7/4 , very pale brown
UZB063,unassigned,5YR 6/4, light reddish brown
UZB064,BUK,7.5YR 8/4 , pink
UZB065,BUK,10YR 7/4 , very pale brown
