ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
UZB001,BKH20-5-6,Bukhara,BUK,slipware,polychrome slipware,mid-end of the 10th c. CE,Open Vessel - Unknown,61.72,15.11,92.12,8.18,1.11,41536,4.1,105.4,121.72,2.46,15.05,277.93,0.92,0.77,11.22,95.88,112.96,20.73,31.05,0.41,27.77,5.66,3.14,2.9,82780,526.91,78881,4.79,30830,801.35,8632.2,3675.7,131.24
UZB002,BKH20-9-17,Bukhara,BUK,slipware,slipware - pseudo-calligraphic,beginning of 11th  c. CE,Open Vessel - Unknown,63.56,17.16,94.01,8.93,1.15,42180,4.45,77.67,108.68,2.62,15.18,320.81,0.93,0.76,11.63,92.18,131.44,22.29,32.51,0.4,29.16,5.81,3.54,2.85,85470,592.5,84792,4.38,28499,898.21,9055.6,4503.1,125.73
UZB006,BKH20-27-7,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Unknown,67.06,17.18,97.8,8.78,1.21,44752,4.03,82.69,125.82,2.53,16.41,417.46,1,0.95,12.34,97.64,110.46,22.26,33.6,0.42,30.84,6.04,3.93,2.66,83031,589.48,78735,5.01,32819,887.2,8427.5,3719.4,120.09
UZB007,BKH20-27-21,Bukhara,BUK,slipware,slipware - pseudo-calligraphic,beginning of the 11th c. CE,Open Vessel - Dish,63.5,15.72,90.96,4.66,1.14,41216,4.21,59.22,59.88,2.35,15.05,374.89,0.97,0.78,11.58,126.43,120.74,22.73,32.15,0.41,27.57,5.7,3.67,2.91,79299,608.08,102010,4.43,22776,828.96,9905.7,3916.6,105.66
UZB008,BKH20-30-4,Bukhara,BUK,slipware,slipware - Pseudo-calligraphic,beginning of 11th c. CE,Open Vessel - Bowl,61.87,14.94,89.85,5.33,1.1,39505,3.98,36.84,79.26,2.32,14.52,480.57,0.94,0.72,11.15,100.86,119.45,21.47,31.11,0.4,27.89,5.54,3.6,2.76,78687,556.07,102630,4.12,25775,794.09,8961.8,3773.5,109.5
UZB009,BKH20-30-6,Bukhara,BUK,slipware,slipware - calligraphic,10th c. CE,Open Vessel - Bowl,64.3,16.07,90.89,4.6,1.16,41508,3.86,82.73,79.43,2.31,15.44,536.97,0.96,0.7,11.83,140.62,110.19,21.26,32.41,0.41,27.08,5.76,3.76,2.82,79676,517.08,105320,4.71,25666,832.57,9092,3965.6,115.74
UZB013,BKH20-58-6,Bukhara,BUK,slipware,slipware - calligraphic,10th c. CE,Open Vessel - Unknown,58.97,15.08,87.35,6.11,1.08,39499,3.89,47.76,103,2.19,14.28,314.54,0.86,0.68,10.81,88.04,100.55,23.12,29.65,0.38,26.24,5.3,3.67,2.32,80389,574.71,92136,4.1,29995,870.98,7951,3836,120.29
UZB014,BKH20-58-9,Bukhara,BUK,slipware,polychrome slipware,end of 10th-beginning of 11th c. CE,Open Vessel - Unknown,63.2,16.13,94.15,5.96,1.15,42028,4.03,86.22,95.06,2.21,15.37,323.2,0.93,0.88,11.56,112.54,99.24,21.05,31.28,0.38,28.21,5.57,3.01,2.67,79639,613.57,93617,4.51,27289,786.39,8372.2,3759.6,130.97
UZB015,BKH20-59-3,Bukhara,BUK,slipware,slipware,10th c. CE,Open Vessel - Unknown,62.28,16.62,94.59,6.41,1.11,42341,4.25,0,89.86,2.67,15.43,334.39,0.91,0.73,11.6,127.8,111.73,19.88,31.34,0.39,29.88,5.63,3.64,2.88,83641,558.51,100530,4.8,25784,853.6,9003.7,3995.7,132.2
UZB018,BKH20-70-15,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,63.45,13.43,90.35,9.84,1.15,40893,3.91,94.41,122.23,2.09,15.37,411.35,0.93,0.75,11.75,102.86,111.05,22.94,31.95,0.42,29.81,5.8,4.64,2.82,76272,554.5,84847,4.66,33979,768.46,8755.7,3703.6,136.25
