Sample,Site,Ware,Provenance,Component,Glaze_or_slip_color,Pb,Si,Al,Na,Mg,Ca,Fe,K,Ti,P,Cu,Mn,Cr,Sn,PbO,SiO2,Al2O3,Na2O,MgO,CaO,FeO,K2O,TiO2,P2O5,CuO,MnO,Cr2O3,SnO2
BKH20-58-9,Bukhara,Samanid - Slipware,BUK,Brown Slip,,17.35,22.26,8.28,0.55,0.34,0.66,12.19,3.64,0.37,0.47,,2.31,,,18.69,47.62,15.64,0.74,0.56,0.92,15.68700016,4.38,0.62,1.08,,2.98,,
BKH20-58-9,Bukhara,Samanid - Slipware,BUK,Olive Slip,,13.78,34.34,6.36,0,0.34,1.59,1.45,5.2,0.49,0,0.04,0.35,1.46,,14.84,73.47,12.02,,0.56,2.22,1.863000019,6.26,0.82,,0.05,0.45,2.13,
BKH20-58-9,Bukhara,Samanid - Slipware,BUK,White Slip,,10.9,28.03,12.91,0.5,0.84,3.75,0.68,4.28,0.38,0.15,,,,,11.74,59.97,24.39,0.67,1.39,5.25,0.873000009,5.16,0.63,0.34,,,,
BKH20-87-21,Bukhara,Splashed,SAMK,White Slip,,9.95,34.04,5.55,0.43,0.51,1.68,0.89,3.66,,,0,,,,10.72,72.82,10.49,0.58,0.85,2.35,1.143000011,4.41,,,,,,
BKH20-87-21,Bukhara,Splashed,SAMK,White Slip,Upper     ,7.96,35.64,5.02,0.25,0.52,1.89,2.2,3.92,,,0.11,0.64,,,8.57,76.25,9.48,0.34,0.86,2.64,2.835000028,4.72,,,0.14,0.83,,
BKH20-87-21,Bukhara,Splashed,SAMK,White Slip,Lower,2.67,22.86,6.83,0.67,2.66,12.97,5.33,2.17,,,0.01,0.37,,,2.88,48.91,12.9,0.9,4.41,18.15,6.858000069,2.61,,,0.01,0.48,,
BKH20-93-15,Bukhara,Samanid - Slipware,BUK,Brown Slip,,21.2,25.84,10.45,0.49,0,1.75,2.37,4.46,0.7,,,0,,,22.84,55.28,19.74,0.66,,2.45,3.051000031,5.37,1.17,,,,,
BKH20-93-15,Bukhara,Samanid - Slipware,BUK,White Slip,,23.87,26.58,10.95,0.89,0.36,1.53,1.77,2.93,0,,,,,,25.71,56.86,20.69,1.2,0.6,2.14,2.277000023,3.53,,,,,,
BKH20-94-2,Bukhara,Splashed,unassigned,White Slip,,16.9,28.93,9.31,0.66,0.38,1.25,1.3,4.3,,,0.43,,,1.52,18.2,61.89,17.59,0.89,0.63,1.75,1.674000017,5.18,,,0.54,,,1.93
BKH20-95-2,Bukhara,Splashed,unassigned,Brown Slip,,23.83,26.22,9.04,0.39,0.52,1.33,1.5,2.87,0.57,,,0.57,,,25.67,56.09,17.08,0.53,0.86,1.86,1.926000019,3.46,0.95,,,0.74,,
