ID,Color,Group,SiO2,alkali ,PbO
BKH22-123-l,White,N/A,67.39025835,18.92907171,13.68066994
BKH22-153-i,White,BUK A,53.48936698,8.590541833,37.92009119
BKH22-184-v,White,N/A,66.48834173,21.75508679,11.75657149
BKH22-201-as,Yellow,N/A,28.13812299,4.922647416,66.93922959
BKH22-201-as,Yellow,N/A,29.73557488,2.791496651,67.37610947
BKH22-201-au,Yellow,N/A,31.1116734,4.256390901,64.63193569
BKH22-201-au,Yellow,N/A,30.81779658,2.916883031,66.20081099
BKH22-201-au,Yellow,N/A,28.45465147,3.663659656,67.83018139
BKH22-266-ae ,Yellow,N/A,28.60010217,1.808533288,69.55248651
BKH22-266-ae ,Yellow,N/A,32.41344862,3.48942871,63.97363493
BKH22-266-e,White,SAMK,52.42865385,12.87418772,34.69715843
TASH002 ,White,TASH,70.91907292,18.31675779,9.648138018
TASH002 ,White,TASH,66.93940062,15.53519074,16.67740504
TASH003 ,White,N/A,74.02820649,17.0981394,8.047949329
TASH003 ,White,N/A,70.73899705,20.72427821,7.654218358
TASH004 ,White,N/A,53.92402456,10.67433882,35.085062
TASH004 ,White,N/A,51.22244944,10.35996721,37.65863038
TASH004 ,White,N/A,45.8592112,9.999195751,43.72098249
TASH006,White,TASH,80.2279271,17.1611601,1.284375402
TASH006,White,TASH,58.36101949,11.32545904,29.86524608
Y-Nishapur.1,Yellow,Central Asia,25.26,4,70.74
Y-Nishapur.2,Yellow,Central Asia,26.19,1.59,72.22
Y-Nishapur.9,Yellow,Central Asia,28.54,1.81,69.65
Y-Merv.1,Yellow,Central Asia,28.99,1.89,69.12
Y-Takht.2,Yellow,Central Asia,25.27,0.44,74.29
Y-Takht.3,Yellow,Central Asia,33.96,3.63,62.41
Y-Takht.5,Yellow,Central Asia,33.12,2.44,64.44
Y-Takht.6,Yellow,Central Asia,32.49,1.26,66.25
W-Samarqand.3,White,Central Asia,68.52,15.47,16.01
W-Samarqand.6,White,Central Asia,62.29,16.69,21.02
W-Takht.3,White,Central Asia,43.02,3.67,53.31
W-Takht.6,White,Central Asia,58.27,0,41.73
Susa.1,Yellow,Mesopotamian,29.49,4.65,65.86
Susa.7,Yellow,Mesopotamian,27.36,1.89,70.75
Susa.12,Yellow,Mesopotamian,25.94,2.41,71.65
Kish.1,Yellow,Mesopotamian,26.68,3.31,70.01
Susa.15,White,Mesopotamian,74.11,20.8,5.09
Susa.19,White,Mesopotamian,74.13,21.33,4.54
Samarra.6,White,Mesopotamian,75.35,22.62,2.04
Samarra.21,White,Mesopotamian,75.98,22.12,1.9
Samarra.22,White,Mesopotamian,73.3,22.05,4.65
Samarra.19,White,Mesopotamian,75.92,24.08,0
Samarra.20,White,Mesopotamian,75.77,24.23,0
Susa.2,White,Mesopotamian,79.71,20.29,0
Samarra.23,White,Mesopotamian,75.1,24.9,0
Samarra.26,White,Mesopotamian,69.11,21.05,9.84
Samarra.35,White,Mesopotamian,74.28,20.7,5.02
Samarra.37,White,Mesopotamian,76.77,22.51,0.72
Basra.4,White,Mesopotamian,74.79,25.21,0
Basra.5,White,Mesopotamian,76.35,23.65,0
Fustat.1,Yellow,Egypt and Levant,29.63,0.53,69.84
Raqqa.16,Yellow,Egypt and Levant,26.81,3.3,69.89
Raqqa.31,Yellow,Egypt and Levant,31.34,3.14,65.51
Al-Mina.3,Yellow,Egypt and Levant,26.31,1.26,72.43
Madaba.5,Yellow,Egypt and Levant,34.37,2.28,63.35
Raqqa.11,Yellow,Egypt and Levant,29.84,0.31,69.84
Raqqa.14,Yellow,Egypt and Levant,27.7,1.97,70.33
Al-Mina.4,Yellow,Egypt and Levant,29.46,4.67,65.87
Raqqa.25,Yellow,Egypt and Levant,30.57,1.31,68.12
Raqqa.29,Yellow,Egypt and Levant,28.02,2.71,69.27
Al-Mina.7,Yellow,Egypt and Levant,30.63,1.71,67.66
Raqqa.18,Yellow,Egypt and Levant,31.1,12.95,55.95
Aqaba.4,Yellow,Egypt and Levant,26.28,2.45,71.28
Raqqa.3,White,Egypt and Levant,43.72,8.63,47.65
Raqqa.20,White,Egypt and Levant,49.51,10.08,40.42
Aqaba.5,White,Egypt and Levant,44.01,7.75,48.24
Al-Mina.5,White,Egypt and Levant,42.43,9.5,48.07
Aqaba.7,White,Egypt and Levant,44.3,5.48,50.22
Raqqa.1,White,Egypt and Levant,41.38,7.79,50.82
Raqqa.26,White,Egypt and Levant,45.09,9.04,45.87
Al-Mina.9,White,Egypt and Levant,42.2,5.98,51.82
Raqqa.22,White,Egypt and Levant,48.58,10.35,41.07
23/2-8.1,Ishkor,Central Asia,75.24972253,24.75027747,0
23/11c.1,Ishkor,Central Asia,74.62203024,25.37796976,0
23/14.1,Ishkor,Central Asia,75.71884984,24.28115016,0
23/20.2,Ishkor,Central Asia,73.29127234,26.70872766,0
Tashkent 2 - lilac,Ishkor,Central Asia,80.96774194,17.52688172,1.505376344
