ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
NISH-01,,Nīshāpūr,Outlier,slipware,samanid,,Plate,68.3,19.36,145.2,7.1,1.306,43800,5.16,42,58,1.15,16.83,369,0.93,0.7,12.23,104,,17.4,33.16,0.382,29.8,5.42,2.63,3.31,81300,485,75200,4.91,17700,830,16140,4010,152
NISH-02,,Nīshāpūr,NISH,slipware,samanid,,Bowl,56.7,17.38,110.8,6.2,1.226,41200,4.41,40,81,1.23,14.39,506,0.93,0.69,8.79,101,,12.1,40.02,0.433,36.8,6.49,2.62,3.44,80700,507,67500,5.98,24400,658,11750,4520,151
NISH-03,,Nīshāpūr,NISH,slipware,samanid,,Unspec.,56.4,17.43,144.8,6.14,1.163,41500,4.26,91,154,0.99,14.5,526,1.06,0.63,9.93,93,,5.8,34.78,0.454,37.2,6.38,2.56,3.11,78200,497,70900,5.74,22800,642,11810,4150,143
NISH-04,,Nīshāpūr,NISH,slipware,samanid,,Unspec.,59.9,16.7,144.2,6.28,1.141,39100,4.39,71,101,1.41,13.87,319,0.92,0.61,9.78,101,,17.9,37.54,0.424,32.8,5.96,2.9,3.77,69400,439,66000,5.61,22800,826,12900,4030,97
NISH-05,,Nīshāpūr,NISH,slipware,samanid,,Unspec.,53.9,16.26,115.8,6.1,1.081,38800,4.32,50,101,0.79,13.94,576,0.86,0.58,9.36,89,,14.8,33.79,0.389,33.2,5.79,2.6,3.11,65900,446,81300,5.21,22700,715,12160,4050,104
NISH-06,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,58.8,20.23,137.8,7.09,1.22,44300,4.47,51,228,1.14,15.74,641,0.97,0.7,10.07,121,,25.9,21.86,0.289,19.9,3.74,2.13,2.3,71300,337,89300,3.68,19800,902,14480,3550,154
NISH-07,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,61.1,18.7,101.6,6.75,1.122,42800,4.57,127,145,0.86,14.94,573,0.96,0.67,9.17,113,,21.2,31.89,0.37,29.1,5.35,2.32,3.21,70100,492,94400,4.94,23000,745,11030,3840,90
NISH-08,,Nīshāpūr,Outlier,splashed sgraffito,splashed sgraffiato,,,77.7,18.85,111.3,6.61,1.383,43200,7.03,68,145,4.12,16.61,195,1.04,0.95,14.65,123,,15,29.65,0.306,29.1,4.86,2.04,2.16,80600,463,61200,4.28,28200,860,14620,4690,121
NISH-09,,Nīshāpūr,Outlier,splashed sgraffito,splashed sgraffiato,,,77.3,18.73,130.9,6.37,1.494,42700,4.97,73,382,2.01,16.57,362,1.02,0.92,14.45,105,,13.6,31.42,0.376,28.2,5.15,2.7,2.53,75300,448,83300,4.45,22700,874,13360,3870,121
NISH-10,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,60.9,19.02,131.6,6.87,1.169,42600,4.17,73,395,0.62,15.16,500,0.97,0.67,8.18,125,,18.7,28.82,0.303,25.6,4.67,2.91,2.24,70000,479,70500,4.1,21500,842,15070,4150,138
NISH-11,,Nīshāpūr,Outlier,splashed sgraffito,splashed sgraffiato,,,69.7,10.13,125.4,5.64,1.15,30300,6.56,78,267,1.42,11.89,366,1.03,0.93,11.65,82,,24.7,29.97,0.356,26,4.87,2.5,2.3,80300,545,69300,4.41,27800,1062,12720,4280,129
NISH-12,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,56.3,18.45,106.7,7.36,1.142,42800,5.24,87,381,1,15.3,542,0.95,0.67,8.13,110,,21.4,30.66,0.334,26.9,4.94,2.28,2.26,77100,494,63600,4.51,29900,986,11000,4150,109
NISH-13,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,68.2,16.56,112.6,6.32,1.282,38900,7.56,85,342,1.18,14.44,301,1.01,0.9,13.98,81,,24.3,29.39,0.348,27.6,4.88,2.53,2.37,75300,530,76900,4.52,20500,990,13700,4070,136
NISH-14,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,74.6,15.33,105.2,6,1.258,37900,8.07,86,0,0.72,13.96,236,1,0.82,12.49,82,,36.6,30.15,0.322,30.8,4.98,2.53,2.39,74600,444,84800,4.28,16600,897,14340,3750,192
NISH-15,,Nīshāpūr,NISH,splashed sgraffito,splashed sgraffiato,,,59.4,19.82,104.6,7.2,1.148,45300,4.56,55,294,1.19,15.92,483,1.04,0.75,11.28,132,,11.1,29.49,0.308,26.4,4.76,2.19,2.32,74400,497,65300,4.35,26000,951,14020,4020,85
NISH-16,,Nīshāpūr,Outlier,slipware,samanid,,,43.7,23.42,289.1,6.53,0.957,47000,3.17,190,0,0.82,20.41,2546,0.59,0.63,7.95,102,,20.1,27.23,0.307,26.9,4.68,2.02,2.08,75100,474,72900,3.97,24300,863,12160,3840,140
NISH-17,,Nīshāpūr,SAMK,slipware,samanid,,,64.8,9.41,144.6,6.35,1.153,29500,6.19,52,106,1.78,11.85,537,1.01,0.8,11.21,89,,12.2,28.38,0.292,25.2,4.58,2.29,1.98,74100,432,75900,4.04,29000,810,13950,3580,107
NISH-18,,Nīshāpūr,NISH,slipware,samanid,,,67.5,16.53,116.9,6.67,1.145,39600,6.09,77,301,1.06,14.5,554,0.98,0.79,12.85,79,,17.5,25.81,0.283,25.3,4.37,1.98,1.9,72300,474,76600,3.77,25400,765,12690,3380,104
NISH-19,,Nīshāpūr,Outlier,slipware,samanid,,,61.6,11.04,135.6,6.42,1.156,31400,5.45,53,197,1.6,12.08,602,0.88,0.79,11.33,95,,23.1,30.23,0.316,25.7,4.75,2.34,2.29,79000,761,88500,4.19,26100,991,10510,3570,106
NISH-20,,Nīshāpūr,Outlier,slipware,samanid,,,70.3,12.48,101.1,6.87,1.225,34000,5,73,320,2.13,12.63,404,0.94,0.76,12.69,113,,25.5,28.61,0.319,27.3,4.71,1.92,2.48,77800,512,93300,4.1,29700,941,10910,3370,111
NISH-21,,Nīshāpūr,SAMK,slipware,samanid,,,64.8,9.7,138.2,6.6,1.147,30800,6.53,49,86,1.81,12.29,199,0.9,0.78,11.25,108,,13,27.17,0.323,26.9,4.69,2.11,2.17,76600,737,79800,4.2,22000,1029,11110,4080,103
NISH-22,,Nīshāpūr,NISH,slipware,samanid,,,55.4,17.93,117.4,6.35,1.157,42600,4.34,62,97,0.99,14.83,440,0.96,0.66,10.01,116,,25.9,27.18,0.303,23.4,4.59,2.23,2.62,74400,467,77600,4.12,25200,862,10840,4210,126
NISH-23,,Nīshāpūr,SAMK,slipware,samanid,,,66.3,10.01,162.4,6.66,1.209,32500,6.17,39,88,1.67,12.8,368,0.88,0.82,11.3,100,,19.2,30.63,0.312,27.2,4.76,2.28,2.43,75200,479,85800,4.4,27700,971,10520,3570,116
NISH-24,,Nīshāpūr,NISH,kiln furniture,samanid,,Kiln Furniture,56.2,17.48,98.5,5.59,1.021,39100,4.27,108,77,0.78,14.06,713,0.95,0.69,8.83,112,,21.4,27.59,0.285,25.8,4.53,2.06,2.32,74500,464,71500,4.26,24700,866,11530,3970,105
NISH-25,,Nīshāpūr,NISH,slipware,samanid,,Bowl,61.8,18.97,95.7,7.3,1.13,42200,4.62,66,95,0.83,15.37,587,0.99,0.65,9.84,94,,14.3,26.82,0.236,29.6,4.49,1.81,2.1,77500,438,82600,4.12,24700,805,17920,4290,116
NISH-26,,Nīshāpūr,NISH,monochrome,,,,64.9,18.45,141.7,7.61,1.099,44000,5.28,87,108,1.47,16.33,516,0.85,0.64,11.52,107,,38.8,29.2,0.342,24.9,4.89,2.19,2.47,77500,522,84600,4.32,20900,978,12250,4300,153
NISH-27,,Nīshāpūr,NISH,opaque,Buff ware?,,,58,15.87,131.3,4.61,1.159,38200,5.13,99,75,1.18,14.09,548,0.88,0.7,9.62,95,,18,35.73,0.347,29,5.76,4.08,2.63,60400,549,56600,4.92,24000,569,11130,3930,130
NISH-28,,Nīshāpūr,Outlier,slipware,samanid,,,59.2,19.5,114.2,7.27,1.147,45900,4.38,80,114,2.29,16.23,452,0.97,0.74,10.75,141,,14,35.11,0.42,31.3,6.27,4.94,3.01,63400,562,63600,5.67,20900,580,10180,3990,145
NISH-29,,Nīshāpūr,NISH,opaque,Buff ware?,,,60.1,19.92,122.1,7.03,1.201,44600,4.91,70,102,1.26,16.26,435,0.98,0.67,10.66,147,,13.9,33.23,0.38,27.7,5.35,3.8,2.49,58400,503,70600,4.62,21300,572,9500,3620,114
NISH-30,,Nīshāpūr,NISH,opaque,yellow opaque-Buff ware?,,,59.3,18.57,142.6,6.06,1.205,44800,5.11,111,95,1.31,16.44,602,0.94,0.76,10.8,113,,17.2,33.33,0.359,29.7,5.52,4.1,2.64,59900,607,83500,4.73,20400,582,9620,3470,157
NISH-31,,Nīshāpūr,Outlier,opaque,yellow opaque - Buffware,,,60.3,17.85,153.4,5.23,1.127,41800,4.85,95,75,1.22,15.29,705,0.91,0.84,10.46,112,,13.9,33.45,0.354,30.4,5.63,3.94,2.69,68000,544,83100,4.78,17300,553,9620,3470,133
NISH-32,,Nīshāpūr,Outlier,opaque,yellow opaque - Buffware,,,58.4,19.61,153.9,5.81,1.186,44800,4.81,113,78,2.03,16.21,296,0.95,1.41,10.41,138,,12.3,32.66,0.352,31.5,5.85,5.87,2.81,67800,951,57500,5.22,20900,575,9740,3660,161
SMKD-01,1801-1898 V&A,Afrāsiyāb,SAMK,slipware,samanid,,,69.7,10.29,167.3,7.65,1.244,34300,5.73,32,104,3.19,13.05,251,0.89,0.79,11.7,124,,17.2,35.94,0.419,32.6,6.02,4.8,2.85,67800,526,77900,5.44,22600,581,10360,4220,159
SMKD-02,C176-1911 V&A,Afrāsiyāb,SAMK,slipware,samanid,,,71,10.99,155.9,6.81,1.351,35100,6.97,44,97,2.83,13.03,322,0.94,0.91,11.71,98,,12.4,34.48,0.403,30.5,5.66,6.05,2.76,63700,591,69800,5.26,22000,558,9820,3730,137
SMKD-03,1443-1898 V&A,Afrāsiyāb,Outlier,slipware,samanid,,,65.3,9.39,1438,6.91,1.15,29000,6.6,40,95,2.24,11.62,231,0.91,0.75,10.86,100,,11.5,35.46,0.388,31.9,5.58,4.22,2.99,59400,532,90200,4.83,21700,597,9270,3650,112
SMKD-04,C163-1911 V&A,Afrāsiyāb,SAMK,slipware,samanid,,,65.2,10.2,146.7,6.72,1.87,31000,6.33,39,86,2.19,12.01,284,0.88,0.77,10.91,94,,13.3,35.09,0.386,28.4,5.34,3.74,2.97,59600,463,79500,5,21600,520,9340,3730,81
SMKD-05,1667-1898 V&A,Afrāsiyāb,SAMK,opaque,white opaque,,,66.9,10.29,155.8,7.95,1.239,36100,5.82,56,94,1.72,14.1,216,0.92,0.73,11.54,101,,21.3,29.6,0.375,27.9,5.12,3.66,3.18,59600,616,81900,4.85,21300,634,9090,3470,90
SMKD-06,C97-1900 V&A,Afrāsiyāb,SAMK,slipware,samanid,,,70.2,12.14,151.3,7.01,1.261,34400,5.96,54,110,2.31,13.61,482,0.93,0.83,11.5,113,,20.5,35.84,0.36,30.9,5.72,4.13,3.09,62500,708,72300,5.04,22300,639,10080,3920,101
SMKD-07,C190-1911 V&A,Afrāsiyāb,SAMK,opaque,white opaque,,,68.9,10.89,155.6,7.05,1.314,35300,5.84,52,97,1.86,13.99,340,0.93,0.86,12.02,105,,13.9,32.71,0.388,31.7,5.52,3.82,3.01,62300,513,76000,5.21,21400,503,9900,3530,127
SMKD-08,C179-1911 V&A,Afrāsiyāb,SAMK,slipware,samanid,,,65.8,11.1,167.3,6.69,1.238,32000,5.99,37,110,1.94,12.7,452,0.91,0.76,11.38,261,,15.9,31.49,0.363,36.6,5.76,4.49,2.78,62800,907,95400,5.22,19800,608,8830,3370,188
UZB001,BKH20-5-6,Bukhara,BUK,slipware,polychrome slipware,mid-end of the 10th c. CE,Open Vessel - Unknown,61.72,15.11,92.12,8.18,1.11,41536,4.1,105.4,121.72,2.46,15.05,277.93,0.92,0.77,11.22,95.88,112.96,20.73,31.05,0.41,27.77,5.66,3.14,2.9,82780,526.91,78881,4.79,30830,801.35,8632.2,3675.7,131.24
