Catalogue number,Ware,NAA Group,Pb,Si,Al,Na,Mg,Ca,Fe,K,Ti,P,Sn,Cu,Mn,Cr,Sb,Ni,PbO,SiO2,Al2O3,Na2O,MgO,CaO,Fe2O3,K2O,Alkali
TASH040,Slipware - Karakhanid,TASH,56.21,20.6,2.35,0.12,0.21,0.76,0.65,0.94,,,,0.5,0.27,0.05,,,53.72863083,39.10590418,3.939952693,0.143532885,0.309007206,0.94358715,0.824628466,1.004756585,7.165464985
TASH040,Slipware - Karakhanid,TASH,53.77,17.44,2.46,0,0.13,1.66,6.12,0.72,,0,,,,0.35,,,51.69933685,33.3023085,4.148690145,0,0.192417874,2.073143008,7.809965864,0.77413776,14.99835465
TASH042,Slipware - Karakhanid,TASH,64.59,17.55,1.77,0.29,0.28,0.6,0.17,0.26,0.07,,,,,0.08,,,61.72660573,33.30942653,2.966957565,0.346803196,0.411928905,0.744791308,0.215629815,0.277856959,4.963967748
TASH042,Slipware - Karakhanid,TASH,59.47,19.58,1.86,0.26,0.42,0.51,0.49,0.32,0,,,,,0.44,,,57.03943535,37.2969132,3.129112519,0.312053177,0.62013136,0.635365593,0.623772374,0.343216435,5.663651458
TASH045,Slipware - Karakhanid,TASH,61.07,18.73,1.93,,0.12,0.74,0.45,0.61,0.05,,,,,0.08,,,58.67678439,35.74037345,3.252569995,0,0.177491172,0.92352008,0.573856991,0.655403928,5.582842165
TASH045,Slipware - Karakhanid,TASH,61.74,18.26,2.07,0.26,0.32,0.57,0.55,0.32,,,,,,,,,59.20506046,34.77570156,3.481717305,0.311992054,0.472388489,0.709975393,0.700015523,0.343149208,6.019237973
TASH046,Slipware - Karakhanid,N/A,60.7,20.04,2.53,0.05,0.39,0.22,0.25,0.17,,,,,,0.18,,,57.0445689,37.40298402,4.17039402,0.058799495,0.564218527,0.268549612,0.311830361,0.178655073,5.552447088
TASH046,Slipware - Karakhanid,N/A,60.16,19.37,1.85,,0.7,0.58,0.38,0.31,0,,,,,0.52,,,57.53852904,36.79285351,3.103513312,0,1.03063786,0.720535128,0.482377788,0.331553365,5.668617453
TASH046,Slipware - Karakhanid,N/A,58.56,19.18,2.4,0.05,,0.65,1.4,0.88,,,,0.25,0.2,,,,55.97909296,36.41298776,4.024083535,0.059809858,0,0.807075908,1.776256182,0.940693797,7.607919281
TAZ001,Slipware - Karakhanid,TAZ,56.86,19.55,2.91,0.59,0.65,1.44,1.33,0.83,0,,,,,0.2,,,53.09378414,36.25488312,4.76607388,0.689392917,0.934345086,1.746528006,1.648318918,0.866673936,10.65133274
